sie;sig
FLOR DO SERTAO ;FLOR DO SERTÃOSC
FLORESTA       ;SÃO JOSÉSC
FLORIANOPOLIS  ;FLORIANÓPOLISSC
FORCACAO       ;BENEDITO NOVOSC
FORMOSA DO SUL ;FORMOSA DO SULSC
FORQUILHAS     ;SÃO JOSÉSC
FORQUILHINHA   ;FORQUILHINHASC
FORQUILHINHA 2 ;SIDERÓPOLISSC
FORQUILHINHA 3 ;SÃO JOSÉSC
FORTALEZA      ;BLUMENAUSC
FOZ DO IGUACU  ;SC
FRAGOSOS 1     ;CONCÓRDIASC
FRAGOSOS 2     ;CAMPO ALEGRESC
FRAIBURGO      ;FRAIBURGOSC
FRANCIOSE      ;ARROIO TRINTASC
FREDERICO WESTP;SC
FREI ROGERIO   ;FREI ROGÉRIOSC
FUNDO DO CAMPO ;OTACÍLIO COSTASC
FUNDOS AURORA  ;AURORASC
GABIROBA 1     ;ITUPORANGASC
GABIROBA 2     ;SÃO MARTINHOSC
GALERA         ;CANELINHASC
GALVAO         ;GALVÃOSC
GAMBOA         ;PAULO LOPESSC
GAROPABA       ;GAROPABASC
GAROPABA DO SUL;JAGUARUNASC
GARUVA         ;GARUVASC
GARUVA 2       ;SOMBRIOSC
GASPAR         ;GASPARSC
GASPAR ALTO    ;GASPARSC
GASPAR(BATEIAS);GASPARSC
GNADENTAL      ;WITMARSUMSC
GODOFREDO      ;ARAQUARISC
GOIABEIRA      ;SÃO JOSÉ DO CERRITOSC
GOV C RAMOS(GF);GOVERNADOR CELSO RAMOSSC
GOV CELSO RAMOS;GOVERNADOR CELSO RAMOSSC
GRAMADINHO     ;SÃO MIGUEL DO OESTESC
GRAMADO 1      ;LAGESSC
GRAMADO 2      ;PAPANDUVASC
GRAMADO 3      ;RIO DO CAMPOSC
GRAMADO 4      ;ÁGUAS DE CHAPECÓSC
GRAMADO 5      ;VIDEIRASC
GRAMADO IZIDROS;TANGARÁSC
GRAMADO LEITE  ;IBICARÉSC
GRAMADO SANTOS ;TANGARÁSC
GRAO PARA      ;GRÃO PARÁSC
GRAPIA         ;PARAÍSOSC
GRAVATA 1      ;PENHASC
GRAVATAL       ;GRAVATALSC
GUABIRUBA      ;GUABIRUBASC
GUAIRA PR      ;SC
GUARACIABA     ;GUARACIABASC
GUARAMIRANGA   ;GUARAMIRIMSC
GUARAMIRIM     ;GUARAMIRIMSC
GUARAMIRIM(FIG);GUARAMIRIMSC
GUARANI        ;PAPANDUVASC
GUARATUBA PR   ;SC
GUARDA 1       ;TUBARÃOSC
GUARDA C(JOMAR);PALHOÇASC
GUARDA CUBATAO ;PALHOÇASC
GUARDA MOR     ;CURITIBANOSSC
GUARITA        ;SOMBRIOSC
GUARUJA DO SUL ;GUARUJÁ DO SULSC
GUATA          ;LAURO MULLERSC
GUATAMBU       ;GUATAMBÚSC
GUATAMBU-CA    ;GUATAMBÚSC
GUATAMBU-TR    ;GUATAMBÚSC
GUATAPAREMA    ;GUARACIABASC
H SANTA INES   ;BALNEÁRIO CAMBORIÚSC
H.OESTE-RUPP   ;HERVAL D'OESTESC
H.OESTE-S.ANT. ;HERVAL D'OESTESC
H.OESTE-V.MAUR.;HERVAL D'OESTESC
H.OESTE-V.RICA ;HERVAL D'OESTESC
H.OESTE-ZANELA ;HERVAL D'OESTESC
HERCILIO LUZ   ;ARARANGUÁSC
HERCILIOPOLIS  ;ÁGUA DOCESC
HERVAL DO OESTE;HERVAL D'OESTESC
HERVALZINHO    ;XAXIMSC
HORIZONTE DV   ;ÁGUA DOCESC
HOSP REG S JOSE;SÃO JOSÉSC
HOSP. REGIONAL ;PALHOÇASC
HUMAITA        ;CUNHA PORÃSC
IBIAM          ;IBIAMSC
IBICARE        ;IBICARÉSC
IBICUI         ;CAMPOS NOVOSSC
IBIRAMA        ;IBIRAMASC
ICARA          ;IÇARASC
IDAMAR         ;DIONÍSIO CERQUEIRASC
ILHA GRANDE    ;GRÃO PARÁSC
ILHAS          ;ARARANGUÁSC
ILHOTA         ;ILHOTASC
ILHOTA 2       ;GRAVATALSC
ILHOTINHA      ;GRAVATALSC
ILSE           ;ASCURRASC
IMARUI         ;IMARUÍSC
IMASA          ;CAMPOS NOVOSSC
IMBITUBA       ;IMBITUBASC
IMBUIA         ;IMBUIASC
IMBUIA 2       ;BELA VISTA DO TOLDOSC
INDAIAL        ;INDAIALSC
INDAIAL 3      ;GRAVATALSC
INDIA 2        ;CANELINHASC
INDIOS         ;LAGESSC
INFERNINHO     ;CAMPOS NOVOSSC
IOMERE         ;IOMERÊSC
IPIRA          ;IPIRASC
IPOMEIA        ;RIO DAS ANTASSC
IPORA          ;IPORÃ DO OESTESC
IPORA DO OESTE ;IPORÃ DO OESTESC
IPUACU         ;IPUAÇUSC
IPUMIRIM       ;IPUMIRIMSC
IRACEMINHA     ;IRACEMINHASC
IRAI RS        ;SC
IRAJA          ;MODELOSC
IRAKITAN       ;TANGARÁSC
IRANI          ;IRANISC
IRAPUTA        ;ITAIÓPOLISSC
IRATI          ;IRATISC
IRINEOPOLIS    ;IRINEÓPOLISSC
IRINEU COMELLI ;SÃO JOSÉSC
ITA            ;ITÁSC
ITABERABA      ;NOVA ITABERABASC
ITAIO 1        ;ITAIÓPOLISSC
ITAIOPOLIS     ;ITAIÓPOLISSC
ITAJAI         ;ITAJAÍSC
ITAJAI(P.BRAVA);ITAJAÍSC
ITAJAI/UNIVALI ;ITAJAÍSC
ITAJUBA 1      ;DESCANSOSC
ITAJUBA 2      ;BARRA VELHASC
ITANEMA        ;LAURO MULLERSC
ITAPEMA        ;ITAPEMASC
ITAPIRANGA     ;ITAPIRANGASC
ITAPOA         ;ITAPOÁSC
ITAPOCU        ;ARAQUARISC
ITAQUA         ;PRESIDENTE NEREUSC
ITARARE        ;SÃO JOSÉ DO CERRITOSC
ITINGA         ;ARAQUARISC
ITOPABA        ;ARARANGUÁSC
ITOUPAVA NORTE ;BLUMENAUSC
ITOUPAVA SECA  ;BLUMENAUSC
ITUPORANGA     ;ITUPORANGASC
J C FPOLIS     ;SÃO JOSÉSC
J ELDORADO     ;PALHOÇASC
J EUCALIPTUS   ;PALHOÇASC
J NOVA YORK    ;FORQUILHINHASC
J ZANELLATO    ;SÃO JOSÉSC
JABORA         ;JABORÁSC
JABOTICABA     ;SÃO JOÃO DO OESTESC
JACINTO MACHADO;JACINTO MACHADOSC
JACUTINGA 1    ;IPUMIRIMSC
JACUTINGA 2    ;SÃO CARLOSSC
JAGUARARI      ;SOMBRIOSC
JAGUARUNA      ;JAGUARUNASC
JAQUEIRA       ;PALHOÇASC
JAQUEIRA (B.V );PALHOÇASC
JARAGUA DO SUL ;JARAGUÁ DO SULSC
JARARACA       ;ALFREDO WAGNERSC
JARDIM ACACIAS ;SÃO JOSÉSC
JARDIM AQUARIUS;SÃO JOSÉSC
JARDINOPOLIS   ;JARDINÓPOLISSC
JOACABA        ;JOAÇABASC
JOACABA-C.ALTA ;JOAÇABASC
JOACABA-INDUST.;JOAÇABASC
JOACABA-J.EUROP;JOAÇABASC
JOACABA-PEDRINI;JOAÇABASC
JOACABA-SESI   ;JOAÇABASC
JOACABA-STEREZA;JOAÇABASC
JOAO MERENCIA  ;GOVERNADOR CELSO RAMOSSC
JOAO PAULO     ;BOM RETIROSC
JOINVILLE      ;JOINVILLESC
JOINVILLE(EBCT);JOINVILLESC
JORDAO         ;GOVERNADOR CELSO RAMOSSC
JORGE LACERDA  ;DIONÍSIO CERQUEIRASC
JOSE BOITEUX   ;JOSÉ BOITEUXSC
JUNDIA 1       ;RIO DO OESTESC
JUNDIA 2       ;MELEIROSC
JUPIA          ;JUPIÁSC
KM 10          ;TROMBUDO CENTRALSC
KM 107         ;LAURO MULLERSC
KM 11 - SC 302 ;CAÇADORSC
KM 13          ;LAGUNASC
KM 16          ;JOAÇABASC
KM 18 - SC 302 ;CAÇADORSC
KM 25 - SC 302 ;MATOS COSTASC
KM 36 - BR 280 ;JOINVILLESC
KM 37          ;LAGUNASC
KM 40          ;CAÇADORSC
KM 48 - BR 280 ;JOINVILLESC
KM 9           ;MAFRASC
KOBRASOL       ;SÃO JOSÉSC
L APARECIDA    ;PAIALSC
L APARECIDA 1  ;MAREMASC
L D ADELIA     ;SÃO JOSÉSC
L MANUEL VELHO ;DIONÍSIO CERQUEIRASC
L S TEREZINHA  ;PALMA SOLASC
L SANTA ANA    ;DESCANSOSC
L STA TEREZINHA;ÁGUAS DE CHAPECÓSC
L TAQUARI      ;SÃO LOURENÇO DO OESTESC
L TIRADENTES   ;CONCÓRDIASC
L. SAO PAULO 3 ;MARAVILHASC
L.ANNES-DIFIORI;GUATAMBÚSC
LACERDOPOLIS   ;LACERDÓPOLISSC
LAGEADINHO 1   ;LAGESSC
LAGEADINHO 2   ;MONTE CASTELOSC
LAGEADO 1      ;GUABIRUBASC
LAGEADO 2      ;PAPANDUVASC
LAGEADO 3      ;BOTUVERÁSC
LAGEADO 4      ;ITUPORANGASC
LAGEADO 5      ;LAGESSC
LAGEADO 6      ;TREZE DE MAIOSC
LAGEADO CRESC  ;CONCÓRDIASC
LAGEADO FLORES ;MARAVILHASC
LAGEADO GRANDE ;LAJEADO GRANDESC
LAGEADO LISO   ;URUBICISC
LAGEADO MARIANO;PIRATUBASC
LAGES          ;LAGESSC
LAGOA DA ESTIVA;ANITA GARIBALDISC
LAGOA DE FORA  ;SOMBRIOSC
LAGOA SUL      ;BELA VISTA DO TOLDOSC
LAGOA VERMELHA ;SC
LAGOAO         ;ARARANGUÁSC
LAGUNA         ;LAGUNASC
LAJEADINHO     ;MONTE CASTELOSC
LAJEADINHO 2   ;LAGESSC
LAJEADO GRANDE ;LAJEADO GRANDESC
LAJEADO RS     ;SC
LAJU           ;MONDAÍSC
LANCA          ;PORTO UNIÃOSC
LARANJAL       ;JAGUARUNASC
LARANJEIRA     ;GUARACIABASC
LARANJEIRAS    ;LAGUNASC
LAU MELLO      ;FRAIBURGOSC
LAURENTINO     ;LAURENTINOSC
LAURO MULLER   ;LAURO MULLERSC
LAVATUDO DV    ;LAGESSC
LEBON REGIS    ;LEBON RÉGISSC
LEDRA          ;RIO DO OESTESC
LEOBERTO LEAL  ;LEOBERTO LEALSC
LIBERATA       ;FRAIBURGOSC
LIBERDADE      ;DESCANSOSC
LIMEIRA        ;MELEIROSC
LIMOEIRO       ;BRUSQUESC
LINDOIA        ;LINDÓIA DO SULSC
LINDOIA DO SUL ;LINDÓIA DO SULSC
LINGUADO       ;SÃO FRANCISCO DO SULSC
LINHA ALVES    ;ÁGUAS DE CHAPECÓSC
LINHA ALVORADA ;IRACEMINHASC
LINHA AMIZADE  ;CHAPECÓSC
LINHA ANTA     ;CRICIÚMASC
LINHA APARECIDA;VIDEIRASC
LINHA AURORA   ;SÃO JOSÉ DO CERRITOSC
LINHA BATISTA  ;CRICIÚMASC
LINHA BATISTELO;SC
LINHA BECKER   ;ITAPIRANGASC
LINHA BOA FE   ;SALTINHOSC
LINHA BORBOLETA;ITÁSC
LINHA BRASIL   ;PALMA SOLASC
LINHA CACADOR  ;TREZE TÍLIASSC
LINHA CARAVAJO ;CONCÓRDIASC
LINHA CASCAVEL ;CHAPECÓSC
LINHA CENTRAL  ;MARAVILHASC
LINHA CHAPEU   ;SÃO JOÃO DO OESTESC
LINHA COQUEIRO ;ITAPIRANGASC
LINHA CRUZEIRO ;PRINCESASC
LINHA DOM JOSE ;CAXAMBU DO SULSC
LINHA DOURADO  ;ITAPIRANGASC
LINHA ERVEIRA  ;DIONÍSIO CERQUEIRASC
LINHA ESPERAN?A;SANTA TEREZINHA DO PROGRESSOSC
LINHA ESPERANCA;MARAVILHASC
LINHA ESPERANçA;MARAVILHASC
LINHA FATIM    ;VIDEIRASC
LINHA FATIMA   ;ITÁSC
LINHA GARIBALDI;NOVA ITABERABASC
LINHA GRAMAS   ;VARGEÃOSC
LINHA GUABIROBA;PINHALZINHOSC
LINHA INDIOS   ;GUARACIABASC
LINHA JOVENCIA ;SAUDADESSC
LINHA MACHADO  ;PINHALZINHOSC
LINHA MACUCO   ;SÃO JOÃO DO OESTESC
LINHA MAIDANA  ;ÁGUAS DE CHAPECÓSC
LINHA MALDANER ;ÁGUAS DE CHAPECÓSC
LINHA MARIANO  ;VARGEÃOSC
LINHA MARRECAS ;SEARASC
LINHA MIRIM    ;GUARACIABASC
LINHA OURO     ;ANCHIETASC
LINHA PAVAO    ;PAIALSC
LINHA PAVI     ;MARAVILHASC
LINHA PINHAL   ;CONCÓRDIASC
LINHA POPI     ;ITAPIRANGASC
LINHA PROCOPIO ;XANXERÊSC
LINHA S JOAO   ;PALMA SOLASC
LINHA S JOSE   ;PALMA SOLASC
LINHA S PAULO  ;OUROSC
LINHA S PAULO 1;CONCÓRDIASC
LINHA S PAULO 2;QUILOMBOSC
LINHA S PAULO 3;PIRATUBASC
LINHA S PEDRO  ;JACINTO MACHADOSC
LINHA SAGRADO  ;SEARASC
LINHA SECHI    ;SÃO MIGUEL DA BOA VISTASC
LINHA SIQUEIRA ;GUATAMBÚSC
LINHA TARUMA   ;CANOINHASSC
LINHA TIGRE    ;MONDAÍSC
LINHA TOMAZELLI;CHAPECÓSC
LINHA TORRENS  ;MORRO DA FUMAÇASC
LINHA TREVISAN ;SALTINHOSC
LINHA V GRANDE ;PINHALZINHOSC
LINHA VITORIA  ;OUROSC
LINO           ;CAMPO BELO DO SULSC
LOJAS MOELLMANN;BALNEÁRIO CAMBORIÚSC
LOMBA ALTA     ;ALFREDO WAGNERSC
LONTRAS        ;LONTRASSC
LONTRAS(DPAULA);LONTRASSC
LONTRAS/A.SUB. ;LONTRASSC
LONTRAS/CONCORD;LONTRASSC
LONTRAS/R.SALTO;LONTRASSC
LORENZ         ;AGRONÔMICASC
LOT CIRINO     ;SÃO JOSÉSC
LOT LOS ANGELES;SÃO JOSÉSC
LOT ZENAIDE    ;SÃO JOSÉSC
LOURDES 1      ;TANGARÁSC
LOURDES 2      ;ÁGUAS MORNASSC
LUIZ ALVES     ;LUIZ ALVESSC
LUIZ TOLEDO    ;ITAJAÍSC
LUZERNA        ;LUZERNASC
LUZERNA-VKENEDY;LUZERNASC
MACACOS        ;LAGESSC
MACIAMBU       ;PALHOÇASC
MADRE          ;LAGUNASC
MADRI          ;PALHOÇASC
MAE LUZIA      ;CRICIÚMASC
MAFRA          ;MAFRASC
MAIDANA        ;ÁGUAS DE CHAPECÓSC
MAJOR GERCINO  ;MAJOR GERCINOSC
MAJOR VIEIRA   ;MAJOR VIEIRASC
MAMPITUBA      ;URUSSANGASC
MAMPITUBA 1    ;PASSO DE TORRESSC
MANTIQUEIRAS   ;BOM JARDIM DA SERRASC
MARACAJA       ;MARACAJÁSC
MARACUJA       ;PETROLÂNDIASC
MARARI         ;TANGARÁSC
MARATA         ;SÃO DOMINGOSSC
MARAVILHA      ;MARAVILHASC
MAREMA         ;MAREMASC
MARIA PRETA    ;DIONÍSIO CERQUEIRASC
MARIETO        ;TURVOSC
MARIFLOR       ;SÃO JOSÉ DO CEDROSC
MAROMBAS       ;BRUNÓPOLISSC
MASSARANDUBA   ;MASSARANDUBASC
MASSARANDUBINHA;MASSARANDUBASC
MATADOR        ;RIO DO SULSC
MATO FRANCES   ;RANCHO QUEIMADOSC
MATO PRETO     ;SÃO BENTO DO SULSC
MATOS COSTA    ;MATOS COSTASC
MEDEIROS       ;BARRA VELHASC
MEDIANEIRA     ;SC
MEIA PRAIA     ;ITAPEMASC
MEIA SERRA     ;MARAVILHASC
MELEIRO        ;MELEIROSC
MINA ESPERANCA ;SIDERÓPOLISSC
MINA FLUORITA  ;MORRO DA FUMAÇASC
MINA VELHA     ;GARUVASC
MINA VISCONDE  ;MORRO DA FUMAÇASC
MINERACAO      ;IÇARASC
MIRANDA        ;SÃO FRANCISCO DO SULSC
MIRIM 1        ;TAIÓSC
MIRIM 2        ;IMBITUBASC
MIRIM DOCE     ;MIRIM DOCESC
MODELO         ;MODELOSC
MOEMA          ;ITAIÓPOLISSC
MONDAI         ;MONDAÍSC
MONTANDADE     ;LAGESSC
MONTE ALEGRE 1 ;SÃO JOAQUIMSC
MONTE ALEGRE 2 ;CAMBORIÚSC
MONTE CARLO    ;MONTE CARLOSC
MONTE CASTELO  ;MONTE CASTELOSC
MORRETES       ;PALHOÇASC
MORRETES(ABARD);PALHOÇASC
MORRO BONITO   ;JAGUARUNASC
MORRO COMPRIDO ;CRICIÚMASC
MORRO DA FUMACA;MORRO DA FUMAÇASC
MORRO DO CHAPEU;CAMPO BELO DO SULSC
MORRO DO CIPO  ;SOMBRIOSC
MORRO DO DEZ   ;CAMPOS NOVOSSC
MORRO GRANDE 1 ;MELEIROSC
MORRO GRANDE 3 ;JAGUARUNASC
MORRO PIRITU   ;ARARANGUÁSC
MORRO REUTER   ;AGRONÔMICASC
MORRO RIO GALO ;URUSSANGASC
MORRO SERAFIM  ;LUIZ ALVESSC
MOSQUITO       ;AGRONÔMICASC
MOURA          ;CANELINHASC
MUNDO NOVO 1   ;SANTA TEREZINHA DO PROGRESSOSC
N ESPERANCA    ;TIMBÉ DO SULSC
N S DOS CAMPOS ;SIDERÓPOLISSC
NAVEGANTES     ;NAVEGANTESSC
NAVEGANTES-MACH;NAVEGANTESSC
NEREU RAMOS 2  ;JARAGUÁ DO SULSC
NESTOR         ;ITAIÓPOLISSC
NIELSEN CENTRAL;INDAIALSC
NONOAI RS      ;SC
NOVA BRASILIA  ;IMBITUBASC
NOVA BRASILIA 1;MARAVILHASC
NOVA CULTURA   ;PAPANDUVASC
NOVA DESCOBERTA;TIJUCASSC
NOVA ERECHIM   ;NOVA ERECHIMSC
NOVA ESPERANCA3;DONA EMMASC
NOVA FATIMA    ;SANTA ROSA DE LIMASC
NOVA ITABERABA ;NOVA ITABERABASC
NOVA ITALIA    ;AURORASC
NOVA PETROPOLIS;JOAÇABASC
NOVA RODEIO    ;BENEDITO NOVOSC
NOVA ROMA      ;MELEIROSC
NOVA TEOTONIA  ;SEARASC
NOVA TRENTO    ;NOVA TRENTOSC
NOVA VENEZA    ;NOVA VENEZASC
NOVO CERRO AZUL;PALMA SOLASC
NOVO ENCANTADO ;BANDEIRANTESC
NOVO HORIZONTE ;NOVO HORIZONTESC
NOVO HORIZONTE2;SOMBRIOSC
NOVO SARANDI   ;SÃO JOSÉ DO CEDROSC
OLEO GRANDE    ;ITAJAÍSC
OLHO D AGUA    ;JAGUARUNASC
ORATORIO       ;ORLEANSSC
ORLEANS        ;ORLEANSSC
OSORIO - RS    ;SC
OTACILIO COSTA ;OTACÍLIO COSTASC
OURINHOS       ;VIDAL RAMOSSC
OURO           ;OUROSC
OURO 2         ;ROMELÂNDIASC
OURO NEGRO     ;FORQUILHINHASC
OURO VERDE     ;ABELARDO LUZSC
OURO VERDE 1   ;GUARACIABASC
OURO VERDE 2   ;BELA VISTA DO TOLDOSC
P ALTA NORTE   ;PONTE ALTA DO NORTESC
P CHAPECOZINHO1;MAREMASC
P DE JAGUARUNA ;JAGUARUNASC
P DO RIO IRANI ;CHAPECÓSC
P DUQUE CAXIAS ;IBIRAMASC
P. HERCILIO LUZ;FLORIANÓPOLISSC
PACHECOS       ;PALHOÇASC
PADRE REUS     ;SÃO JOSÉ DO CEDROSC
PAIAL          ;PAIALSC
PAIAL-PINHEIR. ;PAIALSC
PAINEL         ;PAINELSC
PAIOL DE BARRO ;ENTRE RIOSSC
PAIOL VELHO    ;ÁGUA DOCESC
PALERMO        ;LAURO MULLERSC
PALHOCA        ;PALHOÇASC
PALHOCA/UNISUL ;PALHOÇASC
PALHOCINHA     ;TROMBUDO CENTRALSC
PALMA SOLA     ;PALMA SOLASC
PALMAS         ;GOVERNADOR CELSO RAMOSSC
PALMEIRA       ;PALMEIRASC
PALMEIRA 1     ;XAVANTINASC
PALMEIRA MEIO  ;URUSSANGASC
PALMITAL       ;GARUVASC
PALMITOS       ;PALMITOSSC
PALUDO         ;CAMPO ERÊSC
PALUDO/CALDATO ;CAMPO ERÊSC
PAPANDUVA      ;PAPANDUVASC
PARADA         ;LEOBERTO LEALSC
PARAGUASSU     ;ITAIÓPOLISSC
PARAISO        ;PARAÍSOSC
PARAISO DV INT.;PARAÍSOSC
PARAISO PONEIS ;GASPARSC
PARANAGUA PR   ;SC
PAROBE         ;LAGUNASC
PAS CANOAS     ;ANITA GARIBALDISC
PAS FELICIDADE ;VIDEIRASC
PAS FERRAZ     ;BOM JESUSSC
PAS MANSO 1    ;TAIÓSC
PAS MANSO 2    ;INDAIALSC
PASSA VINTE    ;PALHOÇASC
PASSAGEM BARRA ;LAGUNASC
PASSARINHOS    ;PALMITOSSC
PASSO BORMANN  ;CHAPECÓSC
PASSO DAS ANTAS;ABELARDO LUZSC
PASSO DE TORRES;PASSO DE TORRESSC
PASSO FUNDO RS ;SC
PASSO RAIZ     ;FRAIBURGOSC
PASSOS MAIA    ;PASSOS MAIASC
PASTAGEM       ;AGRONÔMICASC
PATO BRANCO PR ;SC
PAULO LOPES    ;PAULO LOPESSC
PAULO RAMOS    ;LAGESSC
PAULON         ;OTACÍLIO COSTASC
PE DA SERRA    ;TIMBÉ DO SULSC
PEDRA BRANCA   ;PALHOÇASC
PEDRA BRANCA 1 ;FLOR DO SERTÃOSC
PEDRA DE AMOLAR;ILHOTASC
PEDRAS BRANCAS ;LAGESSC
PEDRAS GRANDES ;PEDRAS GRANDESSC
PEDREIRAS 2    ;NAVEGANTESSC
PEDRINHAS      ;PEDRAS GRANDESSC
PENHA          ;PENHASC
PENHA 2        ;PAULO LOPESSC
PERAL FLORES   ;XANXERÊSC
PEREQUE        ;PORTO BELOSC
PERICO         ;SÃO JOAQUIMSC
PERITIBA       ;PERITIBASC
PEROBA         ;SOMBRIOSC
PESCARIA BRAVA ;LAGUNASC
PESSEGUEIRO 1  ;NOVA ITABERABASC
PETROLANDIA    ;PETROLÂNDIASC
PICADAS DO SUL ;SÃO JOSÉSC
PICARRAS       ;BALNEÁRIO PIÇARRASSC
PINDOTIBA      ;ORLEANSSC
PINHAL         ;RIO DOS CEDROSSC
PINHALZINHO    ;PINHALZINHOSC
PINHALZINHO 2  ;PAPANDUVASC
PINHALZINHO 4  ;MIRIM DOCESC
PINHEIRA       ;PALHOÇASC
PINHEIRAL 1    ;MAJOR GERCINOSC
PINHEIRINHO    ;ROMELÂNDIASC
PINHEIRO BAIXO ;JACINTO MACHADOSC
PINHEIRO MEIO 1;OUROSC
PINHEIRO MEIO 2;JACINTO MACHADOSC
PINHEIRO PRETO ;PINHEIRO PRETOSC
PINHEIROS 1    ;CANOINHASSC
PINHEIROS 2    ;TUBARÃOSC
PINTADINHO     ;PORTO UNIÃOSC
PINTANGUEIRAS  ;ITAPIRANGASC
PIRABEIRABA    ;JOINVILLESC
PIRATUBA       ;PIRATUBASC
PIURRAS        ;BOCAINA DO SULSC
PIZATTO        ;CAMPOS NOVOSSC
PLACA          ;CAMPOS NOVOSSC
PLAN AURORA    ;AURORASC
PLANALTO       ;CONCÓRDIASC
PLANALTO ALEGRE;PLANALTO ALEGRESC
PLATANEIA      ;NOVO HORIZONTESC
POCINHO 1      ;RIO NEGRINHOSC
POCO FUNDO     ;SANTO AMARO DA IMPERATRIZSC
POCO GRANDE 1  ;GASPARSC
POCO GRANDE 2  ;ARAQUARISC
POCO GRANDE 3  ;GUARAMIRIMSC
POCO PARADO    ;SÃO MIGUEL DA BOA VISTASC
POCO PRETO     ;IRINEÓPOLISSC
POCO REDONDO   ;PAIALSC
POCO RICO      ;SÃO MIGUEL DA BOA VISTASC
POCO SECO      ;PINHALZINHOSC
POCO VERDE     ;MELEIROSC
POCOS          ;JAGUARUNASC
POMBINHAS      ;POUSO REDONDOSC
POMERANIA      ;GUABIRUBASC
POMERANOS      ;TIMBÓSC
POMERANOS CENTR;RIO DOS CEDROSSC
POMERODE       ;POMERODESC
PONTA DE BAIXO ;SÃO JOSÉSC
PONTAL 3       ;ITAPOÁSC
PONTE 1        ;ARARANGUÁSC
PONTE 2        ;NAVEGANTESSC
PONTE ALTA     ;PONTE ALTASC
PONTE ALTA SUL ;PONTE ALTASC
PONTE BAIXA    ;SÃO LUDGEROSC
PONTE DO PIRAI ;JOINVILLESC
PONTE INVERN DV;JOAÇABASC
PONTE ITAPERIU ;BARRA VELHASC
PONTE ITAPOCU  ;BARRA VELHASC
PONTE JACUTINGA;IRANISC
PONTE MAROMBAS ;CURITIBANOSSC
PONTE MARUIM   ;PALHOÇASC
PONTE R ENGANO ;SEARASC
PONTE RIO CEDRO;CRICIÚMASC
PONTE RUTHES   ;ITAIÓPOLISSC
PONTE SERRADA  ;PONTE SERRADASC
PORTO ALEGRE   ;SC
PORTO BELO     ;PORTO BELOSC
PORTO CHALANA  ;GUATAMBÚSC
PORTO ESPUMA   ;NOVA ITABERABASC
PORTO FERREIRA ;ÁGUAS DE CHAPECÓSC
PORTO GRANDE   ;ARAQUARISC
PORTO UNIAO    ;PORTO UNIÃOSC
PORTOES        ;ANITA GARIBALDISC
POSTO A FORMIGA;PALHOÇASC
POSTO DO VINHO ;CORREIA PINTOSC
